"Story","Title","Result","Date","Stability","Duration (s)"
"Dummy rest APICURD test","This will create a new employee","FAILURE","2022-06-07T23:15:16.873+01:00[Europe/London]","0.0","3.66"
"Dummy rest APICURD test","This test will get an employee by ID","FAILURE","2022-06-07T23:15:20.544+01:00[Europe/London]","0.0","0.9"
"Dummy rest APICURD test","This will Update an employee by ID","ERROR","2022-06-07T23:15:21.442+01:00[Europe/London]","0.0","1.86"
"Dummy rest APICURD test","This will Delete an employee by ID","FAILURE","2022-06-07T23:15:23.301+01:00[Europe/London]","0.0","0.9"
"Dummy rest APICURD test","This test will verify if total records are 24","ERROR","2022-06-07T23:15:24.200+01:00[Europe/London]","0.0","0.83"
"Dummy rest APICURD test","4. Verify if message is Successfully! All records has been fetched","ERROR","2022-06-07T23:15:27.296+01:00[Europe/London]","0.0","0.79"
"Dummy rest APICURD test","5. Verify if status is success","ERROR","2022-06-07T23:15:28.086+01:00[Europe/London]","0.0","1.04"
"Dummy rest APICURD test","6. Verify 3rd id salary is 86000","ERROR","2022-06-07T23:15:29.125+01:00[Europe/London]","0.0","0.77"
